AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 15.04.2026 at 11:36:24 Compatible with AeroDyn v13.0.
Polar "S1223_Re3.000_M0.00_N9.0 360 M" on Foil "S1223" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-9.98          Angle of attack for zero Cn for linear Cn curve (deg)
7.22725        Cn slope for zero lift for linear Cn curve (1/rad)
2.4064         Cn at stall value for positive angle of attack for linear Cn curve
-0.3793        Cn at stall value for negative angle of attack for linear Cn curve
-4.00          Angle of attack for minimum CD (deg)
0.0093         Minimum CD value
    31.000  1.679626  0.472335 -0.281580
    32.000  1.712579  0.500894 -0.288524
    33.000  1.744808  0.529937 -0.295468
    34.000  1.776133  0.559437 -0.302411
    35.000  1.806395  0.589364 -0.309355
    36.000  1.835453  0.619687 -0.317755
    37.000  1.863181  0.650372 -0.326060
    38.000  1.889465  0.681387 -0.334249
    39.000  1.914205  0.712696 -0.342302
    40.000  1.937304  0.744264 -0.350202
    41.000  1.958678  0.776054 -0.357931
    42.000  1.978249  0.808030 -0.365476
    43.000  1.995943  0.840154 -0.372820
    44.000  2.011694  0.872387 -0.379951
    45.000  2.025441  0.904692 -0.386858
    46.000  2.037129  0.937029 -0.393529
    47.000  2.046705  0.969358 -0.399955
    48.000  2.054125  1.001642 -0.406127
    49.000  2.059346  1.033839 -0.412038
    50.000  2.062330  1.065911 -0.417681
    51.000  2.063044  1.097817 -0.423052
    52.000  2.061460  1.129519 -0.428146
    53.000  2.057553  1.160977 -0.432961
    54.000  2.051302  1.192151 -0.437494
    55.000  2.042691  1.223003 -0.441746
    56.000  2.031707  1.253493 -0.445716
    57.000  2.018342  1.283584 -0.449408
    58.000  2.002590  1.313236 -0.452823
    59.000  1.984453  1.342414 -0.455965
    60.000  1.963934  1.371079 -0.458841
    61.000  1.941039  1.399196 -0.461455
    62.000  1.915780  1.426728 -0.463816
    63.000  1.888173  1.453641 -0.465931
    64.000  1.858237  1.479899 -0.467811
    65.000  1.825994  1.505470 -0.469465
    66.000  1.791472  1.530320 -0.470905
    67.000  1.754701  1.554417 -0.472143
    68.000  1.715716  1.577731 -0.473192
    69.000  1.674553  1.600232 -0.474066
    70.000  1.631256  1.621891 -0.474779
    71.000  1.585868  1.642678 -0.475348
    72.000  1.538440  1.662569 -0.475786
    73.000  1.489023  1.681536 -0.476112
    74.000  1.437672  1.699556 -0.476342
    75.000  1.384448  1.716604 -0.476493
    76.000  1.329411  1.732660 -0.476584
    77.000  1.272628  1.747701 -0.476631
    78.000  1.214167  1.761709 -0.476654
    79.000  1.154099  1.774666 -0.476669
    80.000  1.092500  1.786553 -0.476697
    81.000  1.029446  1.797357 -0.476754
    82.000  0.965019  1.807062 -0.476859
    83.000  0.899300  1.815657 -0.477030
    84.000  0.832374  1.823129 -0.477283
    85.000  0.764330  1.829470 -0.477637
    86.000  0.695258  1.834671 -0.478107
    87.000  0.625250  1.838725 -0.478709
    88.000  0.554399  1.841628 -0.479459
    89.000  0.482803  1.843374 -0.480371
    90.000  0.410559  1.843963 -0.481459
    91.000  0.337767  1.843392 -0.482734
    92.000  0.264527  1.841664 -0.484209
    93.000  0.190942  1.838780 -0.485895
    94.000  0.117116  1.834744 -0.487799
    95.000  0.043153  1.829561 -0.489931
    96.000 -0.030842  1.823239 -0.492297
    97.000 -0.104762  1.815785 -0.494903
    98.000 -0.178501  1.807210 -0.497751
    99.000 -0.251953  1.797524 -0.500845
   100.000 -0.325009  1.786740 -0.504185
   101.000 -0.397563  1.774873 -0.507771
   102.000 -0.469509  1.761937 -0.511599
   103.000 -0.540739  1.747951 -0.515666
   104.000 -0.611149  1.732931 -0.519966
   105.000 -0.680633  1.716898 -0.524491
   106.000 -0.749086  1.699872 -0.529232
   107.000 -0.816407  1.681877 -0.534178
   108.000 -0.884047  1.662934 -0.539456
   109.000 -0.948806  1.643069 -0.544781
   110.000 -1.012134  1.622308 -0.550268
   111.000 -1.073936  1.600677 -0.555899
   112.000 -1.134118  1.578205 -0.561656
   113.000 -1.192588  1.554921 -0.567517
   114.000 -1.249258  1.530854 -0.573459
   115.000 -1.304042  1.506037 -0.579460
   116.000 -1.356856  1.480500 -0.585494
   117.000 -1.407622  1.454278 -0.591534
   118.000 -1.456261  1.427403 -0.597553
   119.000 -1.502701  1.399910 -0.603522
   120.000 -1.546874  1.371835 -0.609412
   121.000 -1.588713  1.343213 -0.615193
   122.000 -1.628158  1.314082 -0.620832
   123.000 -1.665152  1.284478 -0.626298
   124.000 -1.699642  1.254439 -0.631559
   125.000 -1.731580  1.224004 -0.636583
   126.000 -1.760923  1.193211 -0.641335
   127.000 -1.787634  1.162099 -0.645785
   128.000 -1.811678  1.130707 -0.649898
   129.000 -1.833029  1.099076 -0.653642
   130.000 -1.851662  1.067245 -0.656986
   131.000 -1.867561  1.035254 -0.659899
   132.000 -1.880714  1.003143 -0.662349
   133.000 -1.891115  0.970952 -0.664307
   134.000 -1.898763  0.938723 -0.665745
   135.000 -1.903663  0.906494 -0.666636
   136.000 -1.905827  0.874306 -0.666954
   137.000 -1.905272  0.842199 -0.666675
   138.000 -1.902020  0.810213 -0.665777
   139.000 -1.896101  0.778386 -0.664240
   140.000 -1.887549  0.746758 -0.662046
   141.000 -1.876406  0.715368 -0.659180
   142.000 -1.862720  0.684253 -0.655628
   143.000 -1.846544  0.653452 -0.651379
   144.000 -1.827939  0.623003 -0.646427
   145.000 -1.806970  0.592941 -0.640766
